pathway	pval	padj	log2err	ES	NES	size	leadingEdge
20	KEGG_CITRATE_CYCLE_TCA_CYCLE	0.0632183908045977	0.31780055917987	0.248911114434702	0.494986577651615	1.42929799811403	25	c("PCK1", "PC", "IDH2", "ACO2", "OGDH", "ACO1", "PCK2", "MDH2")
21	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.0721062618595825	0.335294117647059	0.231126709673834	0.492525264555389	1.41545078831129	24	c("ASS1", "GPT2", "GLS2", "GOT1", "CPS1", "GPT", "PPAT", "ASL", "GOT2")
22	KEGG_LYSOSOME	0.030525946601042	0.210289854362734	0.352487857583619	0.369784231407629	1.40340146386669	96	c("HEXA", "GNPTAB", "GNPTG", "CTSZ", "ARSG", "CTSB", "GAA", "AP3M2", "PSAP", "ARSA", "NPC1", "CTSD", "ACP5", "ATP6V0A1", "CTSF", "NAGPA", "LIPA", "PPT2", "GALC", "GM2A", "SCARB2", "MCOLN1", "NAGLU", "GNS", "NPC2", "GLA", "SLC17A5", "DNASE2", "GLB1", "CTSA", "LGMN", "SMPD1", "NEU1", "AGA", "HEXB", "ATP6AP1", "M6PR", "GUSB", "AP1M1", "CTSV", "GGA2", "AP3B1", "DNASE2B", "SGSH", "LAPTM4A", "LAMP2", "CTSH", "ATP6V1H", "CTNS")
23	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.0777988614800759	0.338260331218078	0.222056046145248	0.486477311005175	1.39806979034757	24	c("SCNN1B", "IRS2", "ATP1B2", "ATP1B1", "NR3C2", "SLC9A3R2", "ATP1A1", "KRAS", "FXYD2")
24	KEGG_ERBB_SIGNALING_PATHWAY	0.0543071161048689	0.289667565139263	0.266350657088526	0.398884631503145	1.3836226498298	57	c("NRG4", "MYC", "JUN", "CDKN1A", "EGFR", "NCK2", "HBEGF", "PLCG1", "GAB1", "EIF4EBP1")
25	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.0874524714828897	0.338260331218078	0.208955027549354	0.485066698476312	1.38045093316619	23	c("PFKFB3", "PFKM", "AKR1B1", "PFKL", "ALDOA", "FBP1", "ALDOB", "SORD", "KHK", "PFKFB1", "PMM1")
26	KEGG_PATHWAYS_IN_CANCER	0.0243252448112869	0.180979821395974	0.352487857583619	0.321691498834853	1.37019764985672	205	c("MYC", "ZBTB16", "JUN", "WNT10B", "CDKN1A", "WNT1", "SLC2A1", "PTCH1", "LAMA2", "FZD5", "PDGFRA", "LAMB2", "FGFR1", "FZD4", "EGFR", "FGF21", "NFKBIA", "TRAF6", "BMP2", "NCOA4", "FOXO1", "FZD8", "LAMA5", "RASSF1", "LAMC1", "WNT2", "NTRK1", "PTCH2", "HSP90AB1", "E2F2", "JUP", "PDGFB", "MITF", "PLCG1", "EPAS1", "WNT9B", "ITGA3", "ITGA2B", "ITGA6", "PDGFRB")
27	KEGG_ABC_TRANSPORTERS	0.0923379174852652	0.338260331218078	0.206587922696891	0.449626514432927	1.35659804421557	30	c("CFTR", "ABCG5", "ABCG8", "ABCD3", "ABCA4", "ABCC1", "ABCG1", "ABCB4", "ABCA1", "ABCA3", "ABCG2", "ABCA5")
28	KEGG_FATTY_ACID_METABOLISM	0.0912698412698413	0.338260331218078	0.208955027549354	0.450022862799488	1.34648800712527	29	c("CPT1A", "ACSL3", "ALDH1B1", "ACSL1", "ACOX1", "ACADVL", "EHHADH", "ACSL5", "HADHB", "ECI1")
29	KEGG_GAP_JUNCTION	0.0823970037453183	0.338260331218078	0.213927855492356	0.383500989245878	1.3302609653151	57	c("TUBB1", "TUBB2A", "PDGFRA", "EGFR", "TUBB6", "PLCB1", "ADCY8", "LPAR1", "PDGFB", "PDGFRB", "GNA11", "ADCY1", "ITPR3", "KRAS")
