nodeName	altName	nodeAttr[nodesPresent, ]
DNAJA1	NA	red
DNAJB1	NA	red
DNAJB4	NA	red
DNAJC13	NA	red
DNAJC4	NA	red
DNAJC7	NA	red
DNAL1	NA	red
DNAL4	NA	red
DPF2	NA	red
DPY19L4	NA	red
DRC1	NA	red
DSE	NA	red
DTX3L	NA	red
DTX4	NA	red
DUSP8	NA	red
DYNC2I1	NA	red
DYNLT1	NA	red
DYRK1A	NA	red
ECPAS	NA	red
EEA1	NA	red
EEF1AKMT1	NA	red
EEF1AKMT3	NA	red
EEPD1	NA	red
EFNA1	NA	red
EGFR	NA	red
EHMT2	NA	red
EIF1	NA	red
EIF1B	NA	red
EIF2AK1	NA	red
EIF3A	NA	red
EIF4ENIF1	NA	red
EIF5	NA	red
EIF5A2	NA	red
ELF1	NA	red
ELK1	NA	red
ELOA	NA	red
ELP2	NA	red
ELP3	NA	red
EME2	NA	red
EMSY	NA	red
ENSA	NA	red
EP300	NA	red
EPB41L2	NA	red
EPB41L4B	NA	red
EPC1	NA	red
EPC2	NA	red
EPRS1	NA	red
EPS8L2	NA	red
ERBIN	NA	red
ERCC2	NA	red
ERI1	NA	red
ERLIN1	NA	red
ESCO1	NA	red
ETNK1	NA	red
ETS2	NA	red
ETV3	NA	red
EVI5L	NA	red
EXOC2	NA	red
EXOC5	NA	red
EXOC8	NA	red
F8	NA	red
FAM117A	NA	red
FAM117B	NA	red
FAM118A	NA	red
FAM120B	NA	red
FAM133B	NA	red
FAM13B	NA	red
FAM210A	NA	red
FAM32A	NA	red
FAM76B	NA	red
FARP1	NA	red
FARS2	NA	red
FBXL14	NA	red
FBXL8	NA	red
FBXO10	NA	red
FBXO11	NA	red
FBXO25	NA	red
FBXO30	NA	red
FBXO34	NA	red
FBXO45	NA	red
FBXO8	NA	red
FBXW11	NA	red
FBXW8	NA	red
FCSK	NA	red
FEM1B	NA	red
FEM1C	NA	red
FERMT2	NA	red
FGF1	NA	red
FHIP1A	NA	red
FHIP2B	NA	red
FLI1	NA	red
FLOT2	NA	red
FNBP1L	NA	red
FNDC3B	NA	red
FNIP1	NA	red
FNTB	NA	red
FOXJ3	NA	red
FOXK2	NA	red
FOXN2	NA	red
FOXO1	NA	red
FRYL	NA	red
FSCN2	NA	red
FSD2	NA	red
FYTTD1	NA	red
FZD5	NA	red
G6PC3	NA	red
GAB1	NA	red
GALT	NA	red
GAPVD1	NA	red
GAR1	NA	red
GARIN4	NA	red
GARRE1	NA	red
GAS8	NA	red
GATA4	NA	red
GCC1	NA	red
GCFC2	NA	red
GDPD1	NA	red
GEMIN7	NA	red
GGA3	NA	red
GGPS1	NA	red
GGTA1	NA	red
GID4	NA	red
GIGYF1	NA	red
GIMAP6	NA	red
GINS3	NA	red
GIPC1	NA	red
GLCE	NA	red
GLG1	NA	red
GLYCTK	NA	red
GMCL1	NA	red
GNA13	NA	red
GNB1L	NA	red
GNE	NA	red
GOLGA1	NA	red
GOSR1	NA	red
GPAT4	NA	red
GPATCH3	NA	red
GPBAR1	NA	red
GPBP1	NA	red
GPBP1L1	NA	red
GPN3	NA	red
GPR155	NA	red
GPRASP3	NA	red
GRAMD4	NA	red
GRPEL2	NA	red
GSK3B	NA	red
GTF2E1	NA	red
GTF2H1	NA	red
GTF3C4	NA	red
GTF3C5	NA	red
GTF3C6	NA	red
GTPBP4	NA	red
GZF1	NA	red
HAPSTR1	NA	red
HAUS3	NA	red
HBP1	NA	red
HCFC2	NA	red
HDDC3	NA	red
HDGFL2	NA	red
HEATR6	NA	red
HEBP1	NA	red
HECTD3	NA	red
HERC3	NA	red
HEXIM1	NA	red
HEXIM2	NA	red
HFE	NA	red
HGSNAT	NA	red
HIGD2A	NA	red
HIP1R	NA	red
HIPK1	NA	red
HIPK3	NA	red
HIVEP2	NA	red
HJV	NA	red
HLTF	NA	red
HMBOX1	NA	red
HMG20B	NA	red
HNF4A	NA	red
HNF4G	NA	red
HNRNPF	NA	red
HNRNPH1	NA	red
HOGA1	NA	red
HP1BP3	NA	red
HPS1	NA	red
HS2ST1	NA	red
HSD17B14	NA	red
HSF1	NA	red
HSP90AB1	NA	red
HSPA8	NA	red
HSPB8	NA	red
HSPH1	NA	red
HUWE1	NA	red
HYLS1	NA	red
IBTK	NA	red
ICE2	NA	red
ID4	NA	red
IFNGR1	NA	red
IGFBP4	NA	red
IGIP	NA	red
IKZF1	NA	red
IKZF5	NA	red
IL10RB	NA	red
IL4R	NA	red
IL6ST	NA	red
INO80	NA	red
INTS5	NA	red
INTS6	NA	red
INTS7	NA	red
IP6K1	NA	red
IPP	NA	red
IRF2BP2	NA	red
IRS1	NA	red
ISCA2	NA	red
ITCH	NA	red
ITGAV	NA	red
ITGB1	NA	red
ITPRID2	NA	red
JADE3	NA	red
JMY	NA	red
JRK	NA	red
JUP	NA	red
KANSL2	NA	red
KANSL3	NA	red
KAT6A	NA	red
KAT7	NA	red
KATNA1	NA	red
KATNB1	NA	red
KBTBD2	NA	red
KBTBD8	NA	red
KCMF1	NA	red
KCTD13	NA	red
KCTD6	NA	red
KDF1	NA	red
KDM3A	NA	red
KDM4C	NA	red
KDM5A	NA	red
KDM5C	NA	red
KDM6B	NA	red
KDM7A	NA	red
KDSR	NA	red
KHDC4	NA	red
KIAA0232	NA	red
KIAA1671	NA	red
KIAA2026	NA	red
KIF13B	NA	red
KIN	NA	red
KITLG	NA	red
KL	NA	red
KLF13	NA	red
KLF15	NA	red
KLF3	NA	red
KLF9	NA	red
KLHDC10	NA	red
KLHL11	NA	red
KLHL12	NA	red
KLHL15	NA	red
KLHL22	NA	red
KLHL24	NA	red
KLHL25	NA	red
KLHL28	NA	red
KLHL6	NA	red
KMT2A	NA	red
KMT2E	NA	red
KMT5B	NA	red
KPNA1	NA	red
KPNA4	NA	red
KRR1	NA	red
LAGE3	NA	red
LAMC1	NA	red
LAPTM4A	NA	red
LARGE2	NA	red
LARP1	NA	red
LARP4B	NA	red
LARS2	NA	red
LATS1	NA	red
LATS2	NA	red
LCOR	NA	red
LCORL	NA	red
LDLRAP1	NA	red
LEMD3	NA	red
LIG4	NA	red
LIN52	NA	red
LIN9	NA	red
LMBR1	NA	red
LNPK	NA	red
LNX2	NA	red
LOC101536980	NA	red
LOC101537376	NA	red
LOC101537829	NA	red
LOC101537960	NA	red
LOC101538881	NA	red
LOC101538922	NA	red
LOC101538928	NA	red
LOC101539905	NA	red
LOC101540963	NA	red
LOC101542330	NA	red
LOC101542527	NA	red
LOC101543053	NA	red
LOC101543843	NA	red
LOC101544142	NA	red
LOC101544821	NA	red
LOC101545561	NA	red
LOC101546310	NA	red
LOC101546692	NA	red
LOC101547246	NA	red
LOC101548107	NA	red
LOC101549109	NA	red
LOC101549400	NA	red
LOC101549664	NA	red
LOC101550058	NA	red
LOC101550305	NA	red
LOC101551001	NA	red
LOC101551537	NA	red
LOC101551542	NA	red
LOC101551916	NA	red
LOC101552909	NA	red
LOC101554148	NA	red
LOC101554283	NA	red
LOC101554454	NA	red
LOC101554810	NA	red
LOC101554876	NA	red
LOC101555205	NA	red
LOC101555440	NA	red
LOC101555455	NA	red
LOC101555821	NA	red
LOC101555885	NA	red
LOC101556455	NA	red
LOC101556911	NA	red
LOC101557490	NA	red
LOC101557802	NA	red
LOC101558882	NA	red
LOC101559056	NA	red
LOC105943015	NA	red
LOC105943253	NA	red
LOC129398803	NA	red
LOC129399141	NA	red
LOC129399634	NA	red
LOC129399645	NA	red
LOC129399873	NA	red
LOC129399950	NA	red
LOC129399967	NA	red
LOC129400050	NA	red
LOC129400787	NA	red
LOC129401759	NA	red
LOC129402055	NA	red
LOC129402079	NA	red
LOC129402135	NA	red
LOC129402242	NA	red
LOC129402378	NA	red
LOC129402386	NA	red
LOC129402558	NA	red
LOC129402931	NA	red
LOC129403333	NA	red
LOC129403387	NA	red
LOC129403390	NA	red
LOC129403408	NA	red
LOC129403669	NA	red
LOC129404266	NA	red
LOC129404292	NA	red
LOC129404823	NA	red
LOC129405136	NA	red
LOC129405517	NA	red
LOC129405518	NA	red
LOC129405546	NA	red
LOC129405657	NA	red
LOC129405879	NA	red
LOC129406118	NA	red
LOC129406465	NA	red
LOC129406505	NA	red
LOC129406593	NA	red
LOC129406682	NA	red
LOC129406755	NA	red
LOC129406787	NA	red
LOC129407134	NA	red
LPIN2	NA	red
LPIN3	NA	red
LRCH1	NA	red
LRFN3	NA	red
LRP6	NA	red
LRRC14	NA	red
LRRC14B	NA	red
LRRC58	NA	red
LRRC8C	NA	red
LRRFIP2	NA	red
LSG1	NA	red
LSM10	NA	red
LSM11	NA	red
LSM14A	NA	red
LSM4	NA	red
LSM7	NA	red
LUC7L	NA	red
LYRM1	NA	red
LYRM9	NA	red
LYSET	NA	red
LYSMD3	NA	red
LYST	NA	red
MACF1	NA	red
MAF1	NA	red
MAFG	NA	red
MAFK	NA	red
MAGEF1	NA	red
MAGI1	NA	red
MAGI3	NA	red
MAL2	NA	red
