Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	29	1.2489233419465977	0.008791366500263489	PDE3B, CBLB, PIK3R1, ACACA, PTPRF, PPP1CB, LIPE, HK3, NRAS, PRKAR2A, MKNK2, MAPK1, HRAS, EIF4E, PRKACB, SOCS4, MAPK3, PRKCI, BAD, TSC2, PHKB, G6PC1, PPP1CA, PPP1R3F, PRKAR1A, PPP1R3B, RHEB, RPS6KB2, KRAS	1098	138	8534	1.6333122145666692	0.952889649224075	0.15394168419572543	0.14726791175949458
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	81	3.488372093023256	0.008898363248307829	NDUFA13, HIP1, ATP2A2, UBE2L3, TUBA1C, PSMD9, PSMD6, MAP1LC3B, TBK1, PSMD7, KIF5B, RB1CC1, PSMD1, NOS1, HRAS, CSNK2A1, GPX3, GPX7, AXIN2, ATXN2L, PSMA5, PSMA3, PSMA4, PSMA1, PSMA2, PPIF, VDAC3, ULK2, NDUFS2, NDUFS1, SLC25A5, UBA52, OPTN, PPID, BECN1, PSMD12, VCP, PSMD11, NDUFB7, PSMD14, PSMD13, DCTN4, DCTN3, PSEN2, DERL1, AGER, C9ORF72, UBE2J1, KLC4, NRAS, PSMB4, ATP5F1A, KLC2, PSMB2, PSMB1, DVL1, MFN1, MAPK1, NRBF2, NDUFV2, WNT2, WNT3, MAPK3, NDUFA7, HSPA5, CSNK1A1, BAD, ATP5F1C, EIF2S1, PSMC5, PINK1, PSMC6, CDK5, PSMC4, PSMC2, ATG2A, MAP3K10, CTNNB1, KRAS, UBA1, ACTR10	1098	483	8534	1.303431422462071	0.954616822486447	0.15394168419572543	0.14726791175949458
KEGG_PATHWAY	hsa01232:Nucleotide metabolism	20	0.8613264427217916	0.010307375295472487	RRM1, GDA, ENTPD5, ADK, AMPD2, TYMS, DCK, DCTD, NT5C3B, PNP, UCK1, GUK1, CMPK1, ENPP1, ENPP3, HPRT1, ADSS2, DCTPP1, XDH, ITPA	1098	85	8534	1.8287795992714027	0.9722594211952811	0.16982627867778477	0.1624638677524473
KEGG_PATHWAY	hsa05012:Parkinson disease	49	2.1102497846683894	0.012072598574515868	NDUFA13, UBE2L3, TUBA1C, PSMD9, PSMD6, PSMD7, SLC39A9, KIF5B, PSMD1, PRKACB, SLC39A11, PSMA5, PSMA3, PSMA4, PSMA1, PSMA2, PPIF, VDAC3, NDUFS2, NDUFS1, SLC25A5, UBA52, PSMD12, PSMD11, NDUFB7, PSMD14, MAOA, PSMD13, GNAI3, TXN, UBE2J1, KLC4, PSMB4, ATP5F1A, KLC2, PSMB2, PSMB1, MFN1, NDUFV2, NDUFA7, HSPA5, ATP5F1C, EIF2S1, PSMC5, PINK1, PSMC6, PSMC4, PSMC2, UBA1	1098	271	8534	1.4053260204733193	0.9850424372627345	0.189869050308295	0.1816377330983978
KEGG_PATHWAY	hsa04530:Tight junction	33	1.421188630490956	0.016065735356418816	PCNA, ROCK1, ARPC5L, PARD6G, MYL6B, CLDN1, AMOT, PPP2CA, CDC42, TUBA1C, STK11, RAP1A, PARD6A, PRKACB, RAB8B, ACTR3, ACTR2, PRKCI, HSPA4, RDX, MSN, RHOA, RUNX1, RAP2C, TJP1, DLG1, ARPC2, ARPC3, PPP2R2D, CLDN12, CLDN16, TJP3, LLGL2	1098	170	8534	1.508743169398907	0.9963164605476725	0.2407521777544339	0.23031494461479082
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	38	1.636520241171404	0.01669957302342894	NCKAP1, TMED10, ROCK1, WIPF3, ARPC5L, LPAR2, CLDN1, CDC42, CYTH3, TUBA1C, MYO6, ABL1, MAPK1, PAK3, PAK2, MAPK3, ARHGEF11, ACTR3, ACTR2, ARHGEF12, SEC24A, CHUK, IL1R1, BAIAP2, RHOA, TJP1, ARPC2, ARPC3, NCL, ABI1, CLDN12, TAB3, TAB2, TMBIM6, TAB1, CLDN16, SEC24C, ARF6	1098	203	8534	1.4549157895681355	0.9970526290427166	0.2407521777544339	0.23031494461479082
KEGG_PATHWAY	hsa05132:Salmonella infection	45	1.937984496124031	0.01868467650707429	NCKAP1, DYNC1I2, DCTN4, LEF1, DCTN3, ARPC5L, TXN, HSP90B1, STX10, CDC42, CYTH3, KLC4, TUBA1C, KLC2, KIF5B, MYO6, MAPK1, PAK3, HRAS, KPNA3, MAPK3, SKP1, ACTR3, GSDMD, MAP2K4, ACTR2, TCF7L1, HSP90AA1, CHUK, DYNLT3, RHOA, DYNC1LI2, ARPC2, ARPC3, ABI1, PLEKHM1, CTNNB1, ELMO2, TAB3, TAB2, PKN1, TAB1, ACBD3, ACTR10, ARF6	1098	251	8534	1.3934426229508197	0.9985352319468142	0.25859592285790817	0.2473851169536636
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	57	2.454780361757106	0.01959415872790662	MAML1, PTEN, TCIRG1, TBK1, PPP2R5E, TNR, ATP6V1E1, PRKACB, HRAS, IFNAR2, PRKCI, VWF, CHUK, ITGA1, TSC2, AXIN2, RBL2, CCNA2, RBL1, CREB1, TRAF3, MFNG, TLR3, LLGL2, ATP6V1A, LAMA5, HDAC2, LAMA2, PARD6G, PIK3R1, PPP2CA, CDC42, VTN, NRAS, PARD6A, TERT, DVL1, ATP6V0A2, MAPK1, WNT2, ATP6V1D, ATP6V1C1, WNT3, ATP6V1F, MAPK3, TCF7L1, CSNK1A1, BAD, PPP2R3B, VEGFA, DLG1, RHEB, PPP2R2D, RPS6KB2, CTNNB1, KRAS, ATM	1098	333	8534	1.330395969740232	0.998937233193231	0.260753035379065	0.24944871303604196
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	16	0.6890611541774333	0.023755402748128172	STAT5B, TCF7L1, SPI1, CHUK, BAD, LEF1, PIK3R1, RUNX1, CCNA2, NRAS, RPS6KB2, MAPK1, KRAS, HRAS, PPARD, MAPK3	1098	68	8534	1.8287795992714027	0.9997560557303634	0.3044210870686055	0.29122364109742316
KEGG_PATHWAY	hsa01212:Fatty acid metabolism	14	0.6029285099052542	0.026275541901151618	ACAA2, ELOVL5, ACSL1, ELOVL2, ACSL5, HSD17B4, ELOVL6, HACD2, ACACA, ACADL, ACOX1, EHHADH, PPT1, ACADM	1098	57	8534	1.908989230818394	0.9999002568081568	0.32469062492137357	0.3106144417600423
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	30	1.2919896640826873	0.028904038050804912	ATP6V1A, CAB39L, PTEN, PIK3R1, STK11, NRAS, DVL1, MAPK1, SLC38A9, ATP6V1E1, FNIP2, HRAS, WNT2, ATP6V1D, EIF4E, ATP6V1C1, WNT3, ATP6V1F, MAPK3, CHUK, TSC2, RHOA, CLIP1, RHEB, RPS6KB2, ULK2, KRAS, LAMTOR2, LAMTOR4, LAMTOR5	1098	158	8534	1.475755689285467	0.9999608525673296	0.34485507467512067	0.32990471016608364
KEGG_PATHWAY	hsa00240:Pyrimidine metabolism	14	0.6029285099052542	0.030022793824359705	RRM1, ENTPD5, TYMS, DCK, UPB1, DCTD, NT5C3B, UCK1, DPYD, CMPK1, ENPP1, ENPP3, UMPS, DCTPP1	1098	58	8534	1.8760756233904907	0.9999737282532922	0.3462628887742819	0.33125149186210207
KEGG_PATHWAY	hsa00440:Phosphonate and phosphinate metabolism	4	0.17226528854435832	0.03136040726269437	PCYT1A, CHPT1, CEPT1, SELENOI	1098	6	8534	5.18154219793564	0.999983702275555	0.3500226100932985	0.33484821948231736
KEGG_PATHWAY	hsa01250:Biosynthesis of nucleotide sugars	10	0.4306632213608958	0.0408514856298216	HK3, UGDH, UGP2, NAGK, UXS1, FPGT, UAP1L1, PMM2, PGM1, GALK1	1098	37	8534	2.100625215379314	0.9999994598591494	0.44170668837244603	0.42255755448346716
KEGG_PATHWAY	hsa01210:2-Oxocarboxylic acid metabolism	9	0.3875968992248062	0.05326941018217252	PDHA1, AGXT2, AADAT, GPT2, DBT, ACO2, DLAT, PDHB, DLD	1098	33	8534	2.1197218082463984	0.9999999940524541	0.5543256465991032	0.5302941879315121
KEGG_PATHWAY	hsa05131:Shigellosis	42	1.8087855297157622	0.057788656156569834	BECN1, ROCK1, UBE2D2, UBE2D3, ARPC5L, UBE2D1, CGAS, PIK3R1, SEPTIN11, MALT1, U2AF1L4, CDC42, CYTH3, HK3, MAP1LC3B, TBK1, MAPK1, MAPK3, SKP1, ACTR3, ACTR2, CHUK, IL1R1, SEPTIN2, PRKCD, RHOA, STING1, ARPC2, ATG16L1, ARPC3, RPS6KB2, UBE2N, UBE2V2, ELMO2, TAB3, TAB2, ATM, TAB1, UBA52, PPID, TECPR1, ARF6	1098	250	8534	1.3057486338797815	0.999999998864148	0.5543256465991032	0.5302941879315121
KEGG_PATHWAY	hsa05020:Prion disease	46	1.9810508182601205	0.058413990182372255	NDUFA13, PSMD12, PSMD11, NDUFB7, PSMD14, PSMD13, PIK3R1, PSMD9, STIP1, KLC4, TUBA1C, PSMD6, ATP5F1A, PSMB4, KLC2, PSMD7, PSMB2, KIF5B, PSMB1, PSMD1, MAPK1, NDUFV2, PRKACB, MAPK3, NDUFA7, HSPA5, CSNK2A1, BAD, PRKCD, ATP5F1C, EIF2S1, PSMA5, PSMC5, PSMA3, PSMC6, CREB1, PSMA4, PSMA1, PSMC4, PSMA2, PSMC2, PPIF, VDAC3, NDUFS2, NDUFS1, SLC25A5	1098	278	8534	1.2860662289840261	0.9999999990972677	0.5543256465991032	0.5302941879315121
KEGG_PATHWAY	hsa00230:Purine metabolism	24	1.03359173126615	0.05854581468073152	PRPS2, PRPS1, RRM1, GDA, NPR1, ENTPD5, PDE3B, PRUNE1, ADK, ADCY4, AMPD2, DCK, PAICS, ADCY10, PNP, GUK1, ENPP1, PDE6B, ENPP3, HPRT1, ADSS2, XDH, PGM1, ITPA	1098	128	8534	1.457308743169399	0.9999999991399575	0.5543256465991032	0.5302941879315121
KEGG_PATHWAY	hsa04966:Collecting duct acid secretion	8	0.34453057708871665	0.059277598046724916	ATP6V1A, ATP4A, ATP6V0A2, TCIRG1, ATP6V1E1, ATP6V1D, ATP6V1C1, ATP6V1F	1098	28	8534	2.2206609419724175	0.9999999993428352	0.5543256465991032	0.5302941879315121
KEGG_PATHWAY	hsa04146:Peroxisome	17	0.7321274763135228	0.061330126308165915	ABCD4, ACSL1, MPV17L, ACSL5, HSD17B4, CROT, PEX13, GNPAT, DAO, ACOX1, PEX3, EHHADH, AGPS, XDH, ABCD1, SLC27A2, NUDT12	1098	83	8534	1.591919590932034	0.9999999996913571	0.5584269395427738	0.5342176791579716
KEGG_PATHWAY	hsa05120:Epithelial cell signaling in Helicobacter pylori infection	15	0.6459948320413437	0.06558863362947862	ATP6V1A, MAP2K4, CHUK, ADAM10, TCIRG1, CDC42, TJP1, ATP6V0A2, CSK, ATP6V1E1, MET, ATP6V1D, GIT1, ATP6V1C1, ATP6V1F	1098	71	8534	1.6420380204725622	0.999999999935999	0.581888903482041	0.5566625059322415
KEGG_PATHWAY	hsa05213:Endometrial cancer	13	0.5598621877691645	0.06937893395032067	TCF7L1, BAD, LEF1, PTEN, PIK3R1, AXIN2, NRAS, CTNNA1, MAPK1, CTNNB1, KRAS, HRAS, MAPK3	1098	59	8534	1.7125436077922882	0.9999999999843174	0.5881497506217545	0.5626519290630079
KEGG_PATHWAY	hsa05100:Bacterial invasion of epithelial cells	16	0.6890611541774333	0.06969404559390732	ACTR3, ACTR2, SEPTIN2, CLTC, ARPC5L, PIK3R1, RHOA, SEPTIN11, CD2AP, CDC42, ARPC2, ARPC3, CTNNA1, ELMO2, CTNNB1, MET	1098	78	8534	1.5943206762878894	0.9999999999860515	0.5881497506217545	0.5626519290630079
KEGG_PATHWAY	hsa05135:Yersinia infection	25	1.0766580534022396	0.07392486105169169	ROCK1, WIPF3, ARPC5L, PIK3R1, CDC42, TBK1, MAPK1, RAC3, MAPK3, ACTR3, MAP2K4, ACTR2, ARHGEF12, FYB1, CHUK, BAIAP2, RHOA, ARPC2, ARPC3, ELMO2, TAB2, PKN2, PKN1, TAB1, ARF6	1098	138	8534	1.408027771178163	0.9999999999971186	0.6090000458067933	0.5825983097169035
KEGG_PATHWAY	hsa00510:N-Glycan biosynthesis	12	0.516795865633075	0.0791850751192095	DPM1, DPM2, B4GALT3, RPN2, MAN2A2, MAN2A1, MGAT4B, ALG5, ALG12, STT3B, ALG11, MAGT1	1098	54	8534	1.7271807326452135	0.9999999999995985	0.6317114357264293	0.6043251018076534
KEGG_PATHWAY	hsa00280:Valine, leucine and isoleucine degradation	11	0.4737295434969853	0.08095245289809219	ALDH3A2, IL4I1, ACAA2, AUH, AGXT2, EHHADH, DBT, AOX1, ACADM, MMUT, DLD	1098	48	8534	1.7811551305403763	0.9999999999997935	0.6317114357264293	0.6043251018076534
KEGG_PATHWAY	hsa00513:Various types of N-glycan biosynthesis	10	0.4306632213608958	0.08215900175632751	B4GALT3, RPN2, MAN2A2, MAN2A1, MGAT4B, HEXD, ALG12, STT3B, ALG11, MAGT1	1098	42	8534	1.8505507849770149	0.9999999999998689	0.6317114357264293	0.6043251018076534
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	32	1.3781223083548666	0.08933390825596699	YWHAE, XIAP, BRCC3, NOD2, TXN, PANX1, TRPM2, PSTPIP1, MAP1LC3B, TBK1, MFN1, MAPK1, TP53BP1, MAPK3, CTSB, GSDMD, IFNAR2, HSP90AA1, CHUK, NEK7, PRKCD, RHOA, STING1, ATG16L1, TRAF3, VDAC3, TAB3, TAB2, PKN2, PKN1, TAB1, SUGT1	1098	189	8534	1.3159472248725437	0.9999999999999913	0.6719463534035778	0.6428157311461973
KEGG_PATHWAY	hsa03060:Protein export	8	0.34453057708871665	0.09409656673271699	UBL4A, SPCS3, SPCS2, SRP72, HSPA5, GET1, SEC62, SEC63	1098	31	8534	2.005758270168635	0.9999999999999986	0.6927108955217038	0.6626800763516878
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	22	0.9474590869939706	0.09790705462073947	OPRD1, ASAH1, ROCK1, SPHK2, PTEN, GNAI3, PPP2R3B, PIK3R1, PLD1, RHOA, PPP2CA, NRAS, SPTLC1, SPTLC3, PPP2R5E, SMPD1, PPP2R2D, RAC3, MAPK1, KRAS, HRAS, MAPK3	1098	122	8534	1.4015646928842307	0.9999999999999997	0.7057466853911636	0.6751507308221826
