Sample	Group	1-Methyl Adenosine	3-Hydroxy-2-methyl-4-pyrone	3-Methylhistidine	4-Hydroxyproline	7-Methylguanine	Adipic acid	Allantoin	Allopurinol	Arginine	Carnitine	Citric acid	Citrulline	Cortisone	Cotinine	Dodecanedioic acid	Galactonic acid	Glutamic acid	Glutathione disulfide	Hexadecanedioic acid	Hexanoyl Glycine	Histidine	Hypoxanthine	Inosine	Isoleucine	Lactic acid	Leucine	Linoleic acid	Methionine	Myristoylcarnitine	N8-Acetylspermidine	N-Acetyl-glycine	N-Acetyl-ornithine	Nicotine amide	Nicotinic acid	Pantothenic acid	Phenylalanine	Pipecolinic acid	Pyroglutamic acid	Sebacic acid	Succinic acid	Tetradecanedioic acid	Thiamine	Threonine	Trimethylamine N-Oxide	Tryptophan	Tyrosine	Uric acid	Uridine	Urocanic acid	Valine	Xanthine	_-aminobutyric acid	12(S)-HETE	2-Aminoadipic acid	2'-Deoxyuridine	2-Ethylhexyl sulfate	2-Ethylhydracrylic/2-(hydroxymethyl)butanoi acid	2-Hydroxybutyric acid	2-Hydroxyisocaproic acid	2-Hydroxyoctanoic acid	2-Hydroxyphenylacetic acid	2-Oxoglutaric acid	3-Chloro-Tyrosine	3-Hydroxybutyric acid	3-Methyl-2-oxovaleric acid	3-Methyladipic/pimelic acid	3-Methylglutaconic acid	3-Phenyllactic acid	3-Ureidopropionic acid	4-Hydroxybenzaldehyde	4-Methyl-2-oxovaleric acid	5-Hydroxyindole-3-acetic acid	5-Hydroxytryptophan	5-Methylcytosine	8-Aminooctanoic acid	Acetylcholine	Alanine	alpha-Linolenic acid	AMP	Anthranilic acid	Arachidonic acid	Asparagine	Carnosine	cis-Aconitic acid	Creatine	Creatinine	Cystine	Cytidine	Deoxyinosine	Diaminopimelic acid	Docosahexanoic acid	Docosapentaenoic acid	Dulcitol/Mannitol/Sorbitol	Eicosapentaenoic acid	Epinephrine	Ethyl vanillin	Fumaric acid	Glutamine	Glutaric acid	Glyceric acid	Glycine	Glycolic acid	GMP	Guanosine	Hexose	Hexose dimer	Hippuric acid	Homoarginine	IMP	Indole-3-acetic acid	Indole-3-lactic acid	Isethionic acid	Isocitric acid	Kynurenic acid	Lysine	Methionine sulfoxide	N-Acetyl-alanine	N-Acetyl-aspartic acid	N-Acetyl-glutamine	N-Acetyl-methionine	N-Acetylneuraminic acid	N-Acetyl-phenylalanine	N-Acetyl-tryptophan	N-Formylmethionine	N-Iso valerylglycine	Palmitoleic acid	Pentose	Proline	Pyruvic acid	Quinic acid	Rhamnose	Ribulose-5-phosphate	Serine	Sphingosine 1-phosphate	Suberic acid	Sugar alcohol	Taurine	Tauro-a-Muricholic acid	Tauro-b-Muricholic acid	Threonic acid	Thymidine	Traumatic acid	Tryptamine	UMP	Uracil	Urea	Vanillin	_-Gluconolactone	(R)-3-Hydroxy myristic acid	"1,2-dihydroxyheptadec-16-yn-4-yl acetate"	"1,3-Diaminopropane"	1H-indene-3-carboxamide	1-Linoleoyl glycerol	1-Methyladenine	2-(acetylamino)-3-[4-(acetylamino)phenyl]acrylic acid	"2,3-dihydroxypropyl 12-methyltridecanoate"	"2,4-dihydroxyheptadec-16-en-1-yl acetate"	"2,4-Dimethylbenzaldehyde"	2-[(1S)-1-Hydroxyethyl]-4(1H)-quinazolinone	2-Anisidine	2-Fluoro-6-(4-methoxyphenoxy)benzonitrile	"3-(2,7-dimethylpyrazolo[1,5-a]pyrimidin-6-yl)-5-(trifluoromethyl)-4,5-dihydro-1H-pyrazol-5-ol"	3-(4-benzylpiperazino)pyrazine-2-carbonitrile	"3-(tert-Butyl)-1-(2,4-dichlorobenzyl)-N-isopropyl-1H-pyrazole-5-carboxamide"	"3-(tert-butyl)-1-methyl-4,5-dihydro-1H-pyrazol-5-one"	"3-[2-morpholino-5-(trifluoromethyl)phenyl]-4-phenyl-2,3-dihydro-1,3-thiazol-2-imine hydrochloride"	"3-benzyl-4-hydroxy-5-(4-hydroxyphenyl)-2,5-dihydrofuran-2-one"	3-Hydroxy-2-methylpyridine	3-Hydroxydecanoic acid	3-Methoxybenzaldehyde	"4,4'-Bipyridine"	4-Ethynylaniline	4-Indolecarbaldehyde	4'-Methoxyacetophenone	4-Piperidone	"5-acetyl-2,6-dimethyl-1,2,3,4-tetrahydropyridin-4-one"	5-Nitro-o-toluidine	"6-(4-methoxyphenyl)pyrimidine-2,4-diamine"	"6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol"	6-Methyl-2-pyridinemethanol	6-Methylquinoline	8-Hydroxyquinoline	"9-Oxo-10(E),12(E)-octadecadienoic acid"	9-Oxo-ODE	Acetophenone	Acetyl-_-methylcholine	Acetyl-_-methylcholine	Buprenorphine	Butorphanol	Cetrimonium	Corticosterone	Crotonic acid	Crotonic acid	D-Alanine methyl ester	Diethyleneglycol diacetate	"Dimethyl 2,6-dimethyl-4-(2-thienyl)pyridine-3,5-dicarboxylate"	"Dimethyl cyclohexane-1,4-dicarboxylate"	DL-4-Hydroxyphenyllactic acid	DL-Metanephrine	DL-Stachydrine	DL-Stachydrine	Ethyl palmitoleate	Ethyl palmitoleate	GNH	Hexanoylcarnitine	Hypoglycin A	"Indan-1-one 1-(4,5-dihydro-1H-imidazol-2-yl)hydrazone"	L-Ascorbic acid 2-sulfate	Linoleoyl Ethanolamide	L-Tyrosine methyl ester	mesityl (4-methylphenyl) sulfone	Methyprylon	Mevalonolactone	Monoolein	Monoolein	Monoolein	"N-(2-Methoxyethyl)-3-{5-[(2S)-1-methyl-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-2-pyridinamine"	"N,N-Diethylethanolamine"	"N,N-Diethylethanolamine"	"N,N-dimethyl-N'-[2-(5-oxo-4,5-dihydro-1H-pyrazol-4-yl)phenyl]iminoformamide"	"N1-(1,3,5-Trimethyl-1H-pyrazol-4-yl)-2-cyano-3-(dimethylamino)acrylamide"	"N6,N6,N6-Trimethyl-L-lysine"	N-Acetylputrescine	N-Acetyltyramine	N-Benzylformamide	Nicotinuric acid	Nicotinuric acid	N-Methyloctan-1-amine	Nor-9-carboxy-_9-THC	Noroxycodone-d3	NP-005614	Oleoyl ethanolamide	PEG n12	PEG n6	PEG n7	PEG n8	Perfluoro-1-octanesulfonic acid (PFOS)	Perillartine	Phloroglucinol	Putrescine	Pyridoxamine 5-phosphate	Pyroquilon	Quinoline	Quinoline	Thromboxane B2	Tranexamic acid	"trans,trans-2,4-Heptadienal"	Tris(2-butoxyethyl) phosphate	Vindoline	_-Hydroxynorfentanyl
WINTERJUV21_2	Stage3	3150351	244234	119580632	2220157	4660111	878189	15660738	158270	10763568	916551750	46656248	1166961	166142	103459582	2442044	13117863	18529689	445599	185936	1110078	15969217	13268161	15391576	7062775	1111665441	13007490	4426106	7514810	1114815	1496499	144175	354225	174755708	6704607	6725046	31044738	42973218	21314389	1799535	96558002	508524	10183174	10122814	1905525	24031881	11458690	12255834	7467436	308215	7730878	6799832	2981274	1700991	106625	164275	64769	944522	1805249	3131762	693518	175559	2484859	137631	9627943	1886455	409782	143747	207061	8454175	4932950	4167657	251088	56656	1349081	10553167	844440	29506117	1119342	190360	509726	27469592	2680175	83317	4082647	2692431	144486	235849	402531	818275	69478	30815268	55933	1517649	571447	17382813	2587228	326319	73770541	4634514	1146202	479464	914110	199263	772011	334639179	2337365	24077	75352	298701	1427024	167758	1691611	30293238	254270	895505	1132364	7875996	118285	441250	664945	108115	413073	38932	168710	575979	57719	2194630	847550	10798397	54722	8793691	264764	3048647	906209	948718	208757	53707366	66310	66310	11003984	277228	1551786	41405	62856	908689	32023317	1827472	126899	273768	1673585	2370548	2675927	16325664	8082153	1646261	153528165	2750178	1314071	833897	1546747	456369	660701	1313730	38269	960882	667436	405604	1175716	2665975	3993525	2524800	14802715	5680229	787227	75282267	1362893	19755565	69080790	5452932	1224070	3658169	6217742	421027	1823391	2390962	15412483	4802033	1295059	145334	3884890	8975778	5953892	1583801	3239703	1149220	2845073	4273729	891794	19714713	88742141	1379502	1995646	1629905	497553	11213391	8829901	21530240	2326349	1375766	7514675	16360960	294510	33039186	23868900	707891	87135275	470150	133272	81073	2894890	6870506	154926472	6827695	16893788	31230103	133904	1352113	4232853	3500346	53469892	1547338	2526465	230419807	628242146	525961690	467582344	420614	2861781	13841645	56693894	4737128	1194062	2298476	1940529	204050	783126	2962370	874991	987010	602996
WINTERJUV21_3	Stage3	2435107	290250	136690281	16580574	2738220	1488943	17053321	178203	13303824	1052688712	34494975	1737105	206996	109424453	6519253	14359170	17163993	1624670	433060	1544674	15113338	11633944	16124299	10368832	1141166105	20213248	4004335	10344515	1555162	1000902	126390	919485	91429410	21654845	3856603	36952195	32991522	17242380	2534392	66543287	1507886	6832858	13422321	3128000	22043211	18181697	14202280	8652714	296111	11793647	3905488	2230358	1363471	196331	362778	58576	2147861	3158206	3193228	857914	201295	2090506	233364	15479084	3140438	866226	66484	206964	8515523	3959513	3440730	286141	66654	286478	11693184	1068355	40636052	1152193	488735	447399	30458020	3075606	107195	4063192	2721627	148814	216695	49578	1267295	77744	27029631	65100	1359366	3772228	6825953	4350717	474072	60852540	4889871	807083	397982	1990179	364364	596940	315849093	885593	75354	102645	372575	2659697	379547	1000620	35885850	471333	1085985	2032651	6109872	109981	274421	537255	77331	330109	38853	172552	549319	57598	1754738	1052496	10018347	10386	4026692	424569	3183362	719402	1359359	312302	45353612	90254	90254	8024606	407132	2860017	39233	167153	1025075	36328741	2764805	136802	334501	1498282	3993452	2370195	9297261	4199548	1529988	187391765	2683885	843569	909349	1568863	420339	892270	951432	43982	1191427	757831	1490635	1223033	3026830	5964468	2553421	14215579	7638663	540760	6021103	1308955	20570159	97652001	3596260	1210987	3296047	2742980	840898	2538609	1878527	25834224	3409333	1392916	76830	2729128	6109882	6054125	1557547	1801757	927254	2182618	5898772	1835986	8305420	87000014	4814922	2822904	7354111	590145	8428164	2454771	50619947	3887426	1151003	14110384	11434847	458759	40815786	9948965	851466	28817191	1089912	428299	123666	4131624	5641638	174500634	3007509	7116870	45867937	590570	2319851	3316031	1948207	36025754	605963	1744763	94797173	421493263	305415445	250974113	489475	4057270	13194099	34141746	4946981	1246320	2099061	2210528	661945	783941	2826948	3567529	609400	9399438
WINTERJUV21_4	Stage3	3644245	211637	91101568	2643989	2809552	874817	10636313	109621	6663936	765930211	42386939	817415	231847	114460516	2292862	18372301	15676081	285936	239705	1966205	16842283	10963522	10011573	5076523	1059320255	8501820	4695794	6484736	719514	6617935	107637	240679	122723172	3709588	6240699	23777620	25319500	16477375	1375730	128268949	687648	5851901	9903755	2637151	23735876	9589275	15679225	7980938	129335	5828578	3874834	2184267	446880	105567	149827	94059	1113167	1735596	1807191	810190	158879	2161266	62005	7445357	1931390	368299	45057	96830	5979924	4584042	2725335	135754	52525	501676	6578871	710543	36013624	614278	506285	445626	17200179	3426362	84708	5897159	2205949	116073	213003	979574	993543	56140	34442500	24824	1948771	395850	13727433	3132052	299235	73706156	2803042	624688	598982	549888	451650	696160	372845041	874652	103589	70272	376364	960658	157654	1624360	46302219	578054	1254260	687716	7467745	107560	350317	697144	96872	265590	55116	160783	401732	18634	2397541	810899	11814439	101833	3502247	229457	3694749	1997304	764284	206182	50483961	29511	29511	5731148	328382	669769	41427	311868	1481549	25977862	1822972	182059	262455	1316188	1625538	2642555	16702842	1204011	1283107	166637814	2034407	912730	972462	909332	98097	809666	500243	39289	813154	714032	211122	632048	1998028	3835148	2292612	14931223	10786940	1730800	5947832	3772294	19072969	90618186	4470546	765127	3344570	4797066	651479	2004316	1396249	13628570	1954164	1566987	87034	2100635	5340640	3697936	814292	2030178	1142337	2998980	3912116	850183	6166896	29321543	8749114	1866637	2050449	728015	6220609	8244615	55193461	2429253	1613478	12805507	13012498	756934	26042088	17189170	1304795	28549568	416703	490981	103432	2830189	4059897	81742812	2573547	5347520	19849311	46140	809047	3124267	3932310	23177776	301147	2523160	104987344	234313349	150006571	142229333	640442	2687126	15657435	15187466	5174486	1366355	2153572	1385317	151506	2187369	2654693	1125272	392365	3291522
WINTERJUV21_5	Stage3	2938978	491139	58370587	1733865	1867018	827029	6281827	67107	6934523	591010059	79438492	713493	247165	128158047	2473621	10580871	13164157	556019	499685	1516075	12494818	9427304	5360351	4909144	666986122	8828396	7848208	4702695	834449	5794799	121691	160169	190313713	1035618	3991782	21370195	26143288	15899948	2124934	36414394	1114059	6310444	5521398	532928	14900149	8793546	8336815	4579015	113236	5253881	2216834	2313591	321936	62229	69861	68719	927613	2770771	1444128	626126	138991	2385233	43556	8786382	1819537	524837	24497	73079	2519343	2199126	2966146	146521	54681	641705	10664481	994583	21664491	1518011	136617	510578	27114087	1905303	31047	6288524	2032430	104249	171075	758488	481245	47990	49984087	129089	731631	836211	4877656	2762571	214526	54040964	1139006	450436	234611	350124	287283	356272	390670327	643729	24297	35758	225401	381725	131330	1462928	49944859	405350	387124	576486	7495341	101705	363312	472732	96717	188290	21861	121592	280061	119181	2599762	423770	8720438	239115	3489425	187868	2068992	897507	1027445	140341	46873256	68861	68861	6091616	269383	1624930	25379	124065	847547	19732214	1852956	164837	409311	852466	1104751	1814052	7220344	1520108	462517	111888641	1360267	1248507	1209206	931558	231656	589545	348451	38169	786670	561489	262226	893829	2766337	4504440	1583573	8963781	5272950	1112408		2096114	27756884	47342485	2930481	713377	1733949	4568901	433827	1925155	3294436	7710781	1211564	851472	101195	1525399	7434607	4129759	239386	1661375	854289	1782720	4369878	395189	2551498	110730044	265838	1454022	2195952	371706	6351822	5476195	29138176	3097800	1031591	10587851	8551445	1281575	18649470	8430561	666698	15637612	198939	190678	73243	1718113	6507603	66740798	1930943	2204202	15528018	7831	655231	2843060	3132192	23005952	376200	702120	115860042	241226843	168182133	154563874	1267488	3012666	18055627	7902965	3751342	1040217	1328025	942856	282316	196056	1814215	868745	313802	667376
SPRINGAD21_1	Stage4	4492832	240659	114833995	2426708	4174876	1141869	14029578	141716	6511986	1498728717	56157916	1102561	254938	65895148	5348061	11827612	33706901	5135361	483987	4473669	10675547	17750633	13152168	5809961	1168959246	10072280	6019881	7492170	2369763		144161	492364	159787342	4601039	6772821	31512715	24413950	15664702	2636867	74547801	1641204	11401530	9158170	2045380	22242066	9310221	10222874	9330981	159770	6716112	6617106	4057680	2759952	180844	257406	79783	1061363	1683079	4567837	470148	178103	4134570	83547	7419691	2299635	491005	131766	220469	10380393	15101581	4962573	449099	62244	626946	18613700	1560406	41537213	809927	181394	494953	39167783	2749849	209652	3287150	7154472	338788	233552	55710	1018789	101169	49953399	164993	1310581	1663845	3661078	2924017	714063	68644548	1928083	2025303	364208	523456	307826	889752	288503324	1949065	46375	101089	460962	1118311	223623	1092869	31616033	377567	792757	872916	6212445	264200	758182	765122	165024	656747	115241	289083	619287	138585	1579459	782577	12871207	7331	1590523	161121	2981849	1353629	1233002	210782	88457867	24985	24985	11105553	247466	1452061	39980	86924	1752455	30885209	1551131	76095	245497	720489	2386682	2738962	12959267	10285874	1576644	135762384	4162633	340462	482199	1258629	554828	826378	3764692	36568	834235	597201	316614	1012128	2559352	3941160	2107884	12491496	3536320	466431	8426307	797489	29036798	201032097	7152538	965908	2849051	19701253	818247	1681841	511688	33996734	3309267	1097709	106878	2378888	3061829	5079403	850997	3815800	688121	2870362	4470492	670921	6095014	84000955	1053542	2091924	3236274	618582	14663335	3212237	12279941	3340346	2017778	9185728	9145830	2667956	33098191	30658073	693858	61454781	752524	185454	63050		13821416	152392873	9829620	5217070	20452850	78697	1072583	2776677	1373706	267302014	1040024	2789959	231184365	4023097251	3458982834	2596663565	1132222	2892371	12439277	41680051	3919177	965402	2070170	686339	1446579	733182	1711560	1726735	611384	499157
SPRINGAD21_2	Stage4	3988807	211476	138437643	3594413	3268059	1229455	13900453	142502	3315917	1631150520	27027459	956275	163324	64520903	3816592	8532624	20899821	1530533	253914	1205770	24057663	13295273	13358495	6233740	1021937696	11312696	2241636	4827532	2089370	1975483	133707	366055	245593142	4282866	4249211	29921339	30091794	19055244	2113183	77842169	766703	6315433	7862650	1848572	19075285	7912597	13834140	7044904	335818	6553555	4458013	2300526	1231815	125445	155826	90372	863706	1966449	1729035	815809	199742	1374294	56745	7063430	1994887	536702	168382	173356	7430686	10928761	3593701	168278	47378	719614	7347939	1490048	28612590	833179	1557558	295680	33414878	2229499	108933	3399135	4890002	233924	189268	301926	541656	56452	49724876	67891	1380215	1445820	11015962	3067926	293399	76808026	2675071	675878	361641	405615	529600	413302	336312415	1822446	102298	80940	735888	537363	144708	1960376	24975758	422702	791686	1563122	6716787	198251	521425	397426	249541	549386	133281	141228	378424	64957	2144805	626872	5348205	18095	2975679	237373	2881462	915647	1184971	140863	79775906			7297491	211172	1433918	36951	271921	1482597	32811058	2125535	113556	287864	1374334	2136759	2281704	14750023	5073040	3334310	168171207	3232897	315132	472836	1399005	451421	1765578	952065	38077	1012794	769242	247902	1073341	3229721	4315637	2112918	12554709	4329588	347254	6528419	586321	50836835	92980582	3835739	964297	2856095	10682005	634807	1879362	1240488	93549774	1022269	1318205	106757	2266830	7306034	3696288	1008094	2710599	1022288	1635035	4703207	496666	7901177	83086118	927081	1698090	1342709	698173	16303968	9497217	56705928	3050951	1341433	10594642	15038594	1438279	25650627	24474622	933317	55688116	983587	291850	179734	3318245	18391454	104038665	5205807	6788779	20878606	94822	997106	3821854	2931243	33499629	269836	2262080	133988961	292267475	208044241	192780955	1370777	3469000	15449091	17086666	4026083	1023771	1801032	1456555	141976	583912	2103430	1294758	435238	899775
SPRINGAD21_3	Stage4	5436278	498666	120382607	2436171	4621671	1763304	13086880	149689	1073654	1273058412	87984771	751810	201945	64185821	5419202	20615826	25239731	2149082	829112	997148	7922836	15159877	13723801	6653134	1029462671	11124129	8227069	5194328	1917371	2772754	297897	550193	129009000	2480459	6768914	30375147	14775250	20859542	2790002	137933362	1678688	7818563	8532936	546357	14761928	9490458	16216825	9898730	218689	6944404	5722962	3494066	3440032	109027	139438	97199	1943221	2157931	2054977	916380	166976	3187080	30320	11847710	1666323	798688	100322	172414	8562225	13166017	5807454	327237	44474	858069	11441664	3051078	25499901	2884914	119624	478143	94373831	2218153	170768	8296842	6187348	293324	202769	984584	878484	91587	152123755	389775	1838984	11441095	18853735	2495738	615341	58744045	2109817	1302416	362424	397959	283860	916664	403926844	908627	142634	94508	370210	416016	182935	2322117	56357868	729042	590985	804383	16144809	193227	405239	571155	193507	341453	60950	211794	399211	182315	2442357	526927	7993658	26938	1569908	279146	2785514	548705	1880478	553195	68346224	64739	64739	10760177	227409	2274595	25471	79324	2102776	29690526	1607903	239279	431887	814517	1582110	1814532	23803259	7240922	1068581	174521775	3811901	258657	462060	874459	642610	1497754	463822	36490	685380	888331	271321	568824	4523377	3251241	1680512	8701671	3616304	125554		248652	35363872	69041532	6268076	665046	1854679	8466338	809943	1672686	739612	32753278	352461	1530462	91820	2892106	2928048	4587450	676470	2550315	1192677	3033700	3544964	942758	14639781	147662297	723379	2027473	1431784	428143	18402444	6809362	28208906	6301338	1845330	8204601	13228645	2154514	28722174	42746279	1379966	90103102	819276	106089	100497	2690291	17657737	127315671	4706243	12521371	19326439	86192	1043925	2506987	1631720	27749351	630895	3020722	106316074	283964436	214407756	173649022	4636158	2292041	16005631	56165933	3501528	861385	1314706	582444	293299	922525	1685849	3292510	835553	1091230
SPRINGAD21_4	Stage4	3413229	63985	88835569	2905827	3419722	1742025	13774261	98247	12194936	1141886389	17372208	1056669	23937	128405843	2716216	9249286	22385670	1637117	252826	1770753	19852302	10010075	8260899	7449456	909837555	12782499	3383931	5164120	1849599	1142776	139090	499498	184438907	8059999	5478240	33826114	45247714	13653753	2073473	79032657	672424	7139352	9773217	66827858	21226603	11948794	13023680	5080561	299930	8037724	3927182	3133193	730889	140152	122706	170111	379858	1508305	4176451	676600	151906	1643929	180383	5131102	1903119	451707	115875	141368	7079526	5810295	2444547	150324	39149	1270793	4339485	783762	46417012	560136	2279133		19053455	2378420	119672	2886656	2850469	133935	268973	274281	289540	82670	18434995	56444	1319292	953568	8583226	2938509	269658	75906399	5115356	847457	381990	439079	790975	334499	321712764	2293584	53474	137894	457247	467868	143330	930565	25789838	885234	869136	1368536	7105048	173995	551861	745204	153420	667445	167665	192806	775710	47557	2025401	1056798	8592824	54259	1534951	376619	3160817	656142	1024520	228661	57849209	16596	16596	10379726	152642	864461	42613	413467	1566272	28368525	1800762	137298	86973	1363331	6909013	2365705	10962702	10974107	4789621	141352839	3691206	1106955	1109858	1140588	362233	837405	747084	35802	975210	832469	270040	867126	1258503	4436990	2263180	12918715	4675811	925960	69816875	1722416	36091878	96362558	5735545	898129	3298280	24098973	403800	1558075	3547004	23640075	2371361	1401690	101608	2893483	757700	4873810	1876696	2799279	961247	1545839	4580370	1158200	4253718	70018444	424603	1166483	1842273	611689	8968214	4294686	39166550	3766549	1227199	7615949	13242055	2286730	37577674	14749001	583601	50111796	584644	172064	102037	2663719	5928390	122826462	14303378	3649490	27999686	287117	1391288	3258223	1591338	64849559	267003	2278573	126335056	725231404	581265458	460848378	860647	3255974	13582539	43298469	4394830	1152568	1878701	1706125	1211204	1593050	2138135	917453	329407	1257705
SPRINGAD21_5	Stage4	3665767	207795	104763311	6571368	3965998	702753	15429043	153537	4014747	1324755366	33183758	798666	106092	83565786	2225215	22050799	19481695	1281408	252991	1464723	21000753	11087264	12748234	6823448	1138257687	11268485	4012092	5856604	1155813	1249366	106183	830756	109850558	10198573	5987974	33445090	21098270	22056815	1850718	123612536	712285	6217937	8757574	7581300	21818245	11672840	17642423	7391208	239919	6848215	6200009	2722063	758216	267217	145987	828046	806984	1578541	3858128	842476	159198	2268385	112673	6994877	1374658	442281	60196	241949	15290425	9773971	3296415	185212	80776	1014544	3860320	2045330	38807747	879612	738224	301274	24223115	3187063	84746	6786078	3285881	184939	202423	674812	739228	94506	37601516	124462	2352230	1664970	2280634	2117566	573485	86751723	3689821	1073951	393746	486281	418890	455094	397165552	1767316	3185832	132945	459934	648762	208286	2464397	53959105	974297	910985	1515609	6405749	208817	673466	784329	185675	686885	157462	151539	543408	80392	2482283	828148	9489425	108533	2784963	496067	3077752	1129011	883138	605989	53660442	33396	33396	9588423	191401	743634	36984	278473	1853196	24982329	1322012	229626	181686	1142253	8014645	2494003	7815044	9086957	4018285	129395316	2438061	186279	670440	695322	432152	1689216	1012224	42660	672423	567196	236489	845336	1881820	2916222	2210786	12728630	7338319	528763	9746485	797228	25185439	71803349	6950736	615408	2664149	21126927	298490	1129654	679525	89823005	2789992	815499	105742	2014911	683645	3529780	1272553	1908670	809420	1702967	3274182	711045	2187097	165631062	791867	1348178	534967	347033	11821714	4771860	24070430	3151875	709176	6138425	10202586	962923	26740896	14179150	668687	43912216	1544639	124213	71665	1723647	8489506	114031254	8721800	1864960	21618091	269961	1020768	2958129	690608	60481467	644314	1089067	124191996	728621537	598650117	447368835	1759079	2213204	16545528	62799513	3722053	1284117	1725784	1376432	966161	370248	1725703	732671	377981	3379977
SUMAD21_1	Stage5	6424803	684266	112926890	3196082	3644423	1605263	17045905	209770	10034878	1380010593	25084602	1231901	95799	153342995	7158346	9697952	17885005	2586286	867054	780702	8233317	7658629	19477607	8719728	790186631	15404219	3235367	6982636	1937908	3078290	215328	659178	271681608	3398092	5941293	34375764	44508770	17124585	4436630	47063121	2267364	5213171	7838270	1330420	29437823	12030529	22015316	12222632	141408	8703307	7753480	2101107	3177750	161498	378565	203762	1826647	3491512	1930987	932603	167529	1971492	120986	6754045	3556195	1324510	117569	118387	6775582	3046260	4620532	254751	68635	650905	10636484	2081336	21990123	1750527	2791962	334861	48094550	1919405	133111	7241540	9785448	438781	286710	75541	923348	63171	65667031	201363	1648764	2979852	1883854	2898916	226167	46988754	2286900	957570	284055	521600	862979	703971	532683069	2417694	99963	121598	1458965	456576	231653	6348313	33735641	295448	687949	1334701	7759295	178585	232762	372328	114875	455895	164066	201917	307601	44414	3373644	585835	10132411	6387	2098971	429120	2485855	700299	1615284	171965	91410239			7752470	374421	2650223	52229	565379	1120773	40639785	2222835	99036	347272	2282407	657952	2974273	17789448	4241740	2752321	184556000	3299462	3738823	1465830	1225654	369578	2634415	726547	43849	1029247	874856	265141	986569	2296987	4980074	2740303	17221878	5708567	498736	12037992	1036691	48588401	152348419	3335455	1024827	3929395	18297193	2262610	7325605	5420061	67909122	1907135	963608	143414	2107411	445646	4712897	689706	2783656	2112545	2357121	4941218	1419614	1347917	132092800	1023223	3437870	14032119	743306	9397111	7511635	61970428	1380437	594203	12236196	23045347	4747246	21478012	15530662	1198879	38699160	2874252	349932	171864	4333787	18354897	114619979	2689421	1139190	25414829	55627	819519	4127260	1107274	113580544	550765	507678	178693393	1335207751	1118686543	891584621	3208095	3404858	22590608	10081135	5003522	1345726	2294798	1016042	184047	2140117	2623293	1767729	244734	1772651
SUMAD21_2	Stage5	3536240	181690	176308328	4993209	3042269	1434902	16351161	160045	3145428	1320879699	25231944	1078695	182133	94176388	5523062	12912665	26003634	656052	535016	2066672	9279070	18686356	14516966	10146212	1063847044	17738093	2886819	10354737	1206564	8557798	159214	1414919	174994963	34720684	5423108	47873236	14440981	22664901	2298202	34658363	1912377	5305866	14175438	1539261	31573841	29227042	21813105	8763204	526622	10531089	6812555	2671432	1489735	223045	310320	201512	915024	2590821	2831836	884855	215199	2485265	135098	7994008	2561279	837595	38278	295933	15508491	36480504	4576792	389702	75372	334513	15915059	11490317	43328884	1487914	201016	476302	91920952	2900036	117785	6233922	3927945	226134	178306	18484	681367	74757	83670783	416410	2481919	6980863	8415815	3401152	263917	75018468	3001064	503307	417647	418495	398290	918549	325475944	1034578	309851	92569	346119	1073179	499271	3646886	43454611	443817	1137577	1328882	10858970	259479	292637	687300	102784	1069392	298850	243129	713905	48146	1692809	979099	7449344	20855	2563373	322803	4135824	1095254	1188110	604359	62058200	10823	10823	5866632	263456	1890444	53458	70289	2903655	40040910	2073487	75493	239417	919019	1326363	3203070	15700187	4755459	2671893	138561522	3939399	696698	820360	1076405	352723	2974158	782882	38790	955140	718203	252827	896976	2281498	4403903	2820150	17150465	11590351	180714	11530537	289263	42655000	66719955	5688201	929328	3838581	26036322	361700	1586939	2178657	117197926	1712050	1614935	81252	1901492	3474249	3562349	771326	2198234	760298	2967040	4739287	3096908	7736488	115528355	2649454	2082445	1625473	471189	4310112	6875520	39913833	4800482	454302	3300971	10640831	4072369	71981717	19692667	719683	69883537	2768880	124786	98904	2525649	7592121	121120104	2709966	6635395	55623344	600746	1172561	1987223	5837718	25274035	478665	755110	93341706	271276886	209885466	186966443	1368223	3333248	9966101	31093281	5142599	1586445	2336401	1898703	1126383	1804817	2085684	643319	443731	6445548
