Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	56014.0743008442	1.02308915790149	0.212527531275089	4.81391352811243	1.48002869653569e-06	0.000124688351670229
A1CF	748.29308766893	-1.384443509146	0.39225787010549	-3.52942187947351	0.0004164686412396	0.00656291230845508
A2ML1	18.9420946759607	-0.430152230090183	0.745328836662333	-0.57713080311833	0.56385109726199	0.746513057328474
A3GALT2	0.755612135274689	-1.53064068037754	2.3352692563699	-0.655445052514789	0.512181252880847	NA
A4GALT	9.16661783882888	0.127691255790374	0.523121993307887	0.244094603981256	0.807157551572889	0.900073673308584
A4GNT	14.400574617446	-1.5993063927647	0.591963307756543	-2.70169852051446	0.00689862832905769	0.0448586379005265
AAAS	156.369796605033	0.222878608696385	0.151273066520066	1.47335288312424	0.140655907988593	0.327046101350263
AACS	487.732587748411	0.663484381712551	0.366805563646561	1.80881766109703	0.070479335587469	0.211066338391145
AADAC	1025.74343321486	-0.340506791021298	0.304857057880891	-1.11693917598042	0.264020332634283	0.481008491547578
AADAT	2851.43519618263	-0.211865703431266	0.166196385491152	-1.27479128264523	0.202383127016085	0.409547378452902
AAGAB	552.740288238799	0.050434612181943	0.135663892753589	0.371761499381041	0.710070431426458	0.84281699373447
AAK1	81.444651124069	-0.123197403773075	0.215880199317859	-0.570674865792952	0.568220059356701	0.749062339050117
AAMDC	126.078919076515	-0.0741510773406214	0.166228248192344	-0.446079882011515	0.655539544405865	0.80896855599951
AAMP	1642.26233767789	0.146336375135989	0.108009640283925	1.35484550037676	0.175466786501361	0.375559878378731
AAR2	282.745649711668	0.150071481259778	0.152589015957921	0.983501206280552	0.325360821902747	0.543793054527449
AARS1	2303.01408784354	0.280544123328602	0.149470734219991	1.87691674087649	0.0605295060291738	0.192492456671545
AARS2	376.962236295145	0.459022248799965	0.128830583022764	3.56299131797655	0.000366652810250981	0.00598073142508329
AARSD1	454.831942206974	-0.0740495597995601	0.174140957385267	-0.425227705827606	0.67067068892786	0.818117868553073
AASDH	175.08071615505	0.287735992874055	0.170698729905215	1.68563640182811	0.0918658533674648	0.249925324642182
AASDHPPT	1112.97064821013	-0.519163735391298	0.188879505412438	-2.74865043858331	0.00598411670741028	0.0409070269615345
AASS	8148.32267270611	-0.194124751928931	0.171095993852141	-1.13459554229359	0.256544821751346	0.472618256868122
AATF	169.462491625187	-0.00690887604605633	0.134129943020249	-0.0515088271156077	0.958920068169087	0.982434946227223
AATK	245.436569947466	0.842442216871781	0.169313939140412	4.9756223329796	6.50383439823192e-07	7.07257395943901e-05
ABAT	11924.4234961903	-0.0173254026094949	0.133970290080599	-0.129322722217528	0.89710229267323	0.950804260771183
ABCA1	1491.79973356769	-0.325545694743768	0.250630890949716	-1.29890490956712	0.19397656459616	0.399175595046076
ABCA12	0.0467088400349465	0	4.72940012081094	0	1	NA
ABCA13	0.751714946299107	0.307260858314161	1.81457724819321	0.169329169436079	0.86553773336032	NA
ABCA2	95.255398701127	0.588532121409959	0.234290737131575	2.51197349334151	0.012005810603516	0.065162865126977
ABCA3	275.759954842872	0.0689948825455174	0.16744250697012	0.412051179798865	0.680301910850191	0.823567594599423
ABCA4	2.19440099138919	0.541162312625326	1.0156242353388	0.532837139756518	0.594146322076341	NA
ABCA5	237.043693696193	0.215306206714225	0.270452896283384	0.79609503049516	0.42597680240067	0.634681013624475
ABCA6	4308.04315326931	-0.490027514491502	0.188768811159627	-2.59591354886016	0.00943397985052794	0.0554431632994039
ABCA7	37.1900543275943	0.276029707002307	0.341980007644141	0.807151590245998	0.419579152272605	0.628698134715047
ABCA9	12.9538048159238	0.8905420427356	0.637009879286997	1.39800350307342	0.162112015237621	0.356922467048093
ABCB1	1287.77742335265	-0.655760850769719	0.223179049144708	-2.93827244664228	0.00330046844268322	0.0272260938572224
ABCB10	725.745826830212	-0.550425731111687	0.190284241920309	-2.89265009838389	0.00382006604656786	0.03011469033009
ABCB11	2467.48099986712	-0.769472211016072	0.199988247459325	-3.84758714970275	0.000119286849794302	0.00278390451734556
ABCB5	0	NA	NA	NA	NA	NA
ABCB6	940.538550145393	0.0240627393742246	0.168401004944485	0.142889523623431	0.886377432606034	0.945444667340244
ABCB7	962.08024028509	-0.356018447460979	0.139288070071962	-2.55598664894305	0.0105887181529278	0.0603108526890198
ABCB8	716.446070683988	0.548554116226581	0.174907580306221	3.13625124346351	0.00171122537466687	0.0171941144624948
ABCB9	1352.96814187168	0.318143542262928	0.200555197641796	1.58631412201618	0.112668070372322	0.284285107128883
ABCC1	55.9950112767892	0.152557214747242	0.353411426037019	0.43167029560403	0.665981059525066	0.815452774490483
ABCC10	267.871772128849	0.664008843289444	0.199251744788256	3.33251206404784	0.000860657389484369	0.0108434344724436
ABCC11	3.0745221534991	2.34838030267669	1.01496134605564	2.31376328941296	0.0206807100998975	0.0942443821126357
ABCC2	4687.36796971887	-0.310640881059031	0.160999819786778	-1.92944862590798	0.0536751920376259	0.177737103378979
ABCC3	72.4214150537033	0.326038686263711	0.345135316465267	0.944669150647534	0.344827811292192	0.56174324284644
ABCC4	127.827796243792	0.267713742840244	0.275760035688428	0.970821396116747	0.331637225985135	0.549729036327576
