nodeName	altName	nodeAttr[nodesPresent, ]
CAMLG	NA	red
CAMSAP2	NA	red
CAPN5	NA	red
CAPZB	NA	red
CARD10	NA	red
CARM1	NA	red
CARNS1	NA	red
CASC3	NA	red
CASP9	NA	red
CAVIN2	NA	red
CBFB	NA	red
CBLL1	NA	red
CBX2	NA	red
CBX3	NA	red
CBX8	NA	red
CBY1	NA	red
CCDC117	NA	red
CCDC12	NA	red
CCDC124	NA	red
CCDC125	NA	red
CCDC127	NA	red
CCDC148	NA	red
CCDC157	NA	red
CCDC159	NA	red
CCDC180	NA	red
CCDC186	NA	red
CCDC190	NA	red
CCDC25	NA	red
CCDC51	NA	red
CCDC57	NA	red
CCDC6	NA	red
CCDC61	NA	red
CCDC69	NA	red
CCDC71	NA	red
CCDC71L	NA	red
CCDC85A	NA	red
CCDC86	NA	red
CCDC9B	NA	red
CCHCR1	NA	red
CCN2	NA	red
CCND1	NA	red
CCNE2	NA	red
CCNG2	NA	red
CCNT1	NA	red
CCNT2	NA	red
CCNYL1	NA	red
CCR7	NA	red
CCZ1	NA	red
CD226	NA	red
CD28	NA	red
CD37	NA	red
CD53	NA	red
CD69	NA	red
CD79A	NA	red
CD99L2	NA	red
CDADC1	NA	red
CDAN1	NA	red
CDC14A	NA	red
CDC23	NA	red
CDC37L1	NA	red
CDC40	NA	red
CDC42EP1	NA	red
CDC42SE1	NA	red
CDC42SE2	NA	red
CDCA7	NA	red
CDH17	NA	red
CDK12	NA	red
CDK13	NA	red
CDK16	NA	red
CDK19	NA	red
CDK5RAP3	NA	red
CDK8	NA	red
CDKL5	NA	red
CDS1	NA	red
CDYL	NA	red
CEBPG	NA	red
CENPB	NA	red
CENPV	NA	red
CEP170B	NA	red
CEP350	NA	red
CEP41	NA	red
CEP57	NA	red
CEP76	NA	red
CEP83	NA	red
CERT1	NA	red
CES4A	NA	red
CFAP100	NA	red
CFAP20	NA	red
CFAP45	NA	red
CFL1	NA	red
CFLAR	NA	red
CFTR	NA	red
CGGBP1	NA	red
CHADL	NA	red
CHD1	NA	red
CHD1L	NA	red
CHD2	NA	red
CHD6	NA	red
CHIC1	NA	red
CHKB	NA	red
CHMP2B	NA	red
CHMP5	NA	red
CHMP7	NA	red
CHN2	NA	red
CHRM2	NA	red
CHST11	NA	red
CHST14	NA	red
CHSY1	NA	red
CHTOP	NA	red
CIRBP	NA	red
CKS2	NA	red
CLASP1	NA	red
CLCN4	NA	red
CLDN3	NA	red
CLDN5	NA	red
CLDND1	NA	red
CLIC2	NA	red
CLN3	NA	red
CLN8	NA	red
CLP1	NA	red
CLSPN	NA	red
CLTB	NA	red
CLUH	NA	red
CLVS1	NA	red
CLYBL	NA	red
CMBL	NA	red
CMKLR1	NA	red
CNBD2	NA	red
CNKSR3	NA	red
CNNM4	NA	red
CNOT2	NA	red
CNOT4	NA	red
CNOT6L	NA	red
CNOT7	NA	red
COG1	NA	red
COG7	NA	red
